strike,maturity_days,moneyness,w,price
1344.292,120,1.05,call,27.407997243077997
1376.299,120,1.075,call,15.93233166419595
1408.3059,120,1.1,call,7.99510526730619
1440.3129,120,1.125,call,3.467186145055693
1472.3198,120,1.15,call,1.360009350417982
1504.3268,120,1.175,call,0.506610124050115
1536.3337,120,1.2,call,0.1842143027758923
1024.2225,180,0.8,put,20.271483202909927
1056.2294,180,0.825,put,24.692042723153026
1088.2364,180,0.85,put,29.880658448324446
1120.2433,180,0.875,put,35.939163085474405
1152.2503,180,0.9,put,42.980039905734465
1184.2572,180,0.925,put,51.12840271555373
1216.2642,180,0.95,put,60.52529881896178
1248.2711,180,0.975,put,71.33341747230406
1280.2781,180,1.0,call,71.64121711103925
1312.2851,180,1.025,call,53.91959151069911
1344.292,180,1.05,call,38.35496058734069
1376.299,180,1.075,call,25.337140454093866
1408.3059,180,1.1,call,15.277587514765719
1440.3129,180,1.125,call,8.371283417235786
1472.3198,180,1.15,call,4.25554709659279
1504.3268,180,1.175,call,2.0772362610973865
1536.3337,180,1.2,call,0.9989901044584337
1024.2225,270,0.8,put,35.141198639226616
1056.2294,270,0.825,put,40.81856542750284
1088.2364,270,0.85,put,47.20882277238368
1120.2433,270,0.875,put,54.3826143332292
1152.2503,270,0.9,put,62.41866304764561
1184.2572,270,0.925,put,71.4061198179914
1216.2642,270,0.95,put,81.44800632244804
1248.2711,270,0.975,put,92.66619581887248
1280.2781,270,1.0,call,87.09988405455901
1312.2851,270,1.025,call,69.17887540418708
1344.292,270,1.05,call,52.99094961139612
1376.299,270,1.075,call,38.810523471224535
1408.3059,270,1.1,call,26.939589431188043
1440.3129,270,1.125,call,17.62874067107235
1472.3198,270,1.15,call,10.918455242131314
1504.3268,270,1.175,call,6.500152905340608
1536.3337,270,1.2,call,3.7947701470877107
1024.2225,365,0.8,put,50.3407473849366
1056.2294,365,0.825,put,56.97751268242438
1088.2364,365,0.85,put,64.28097480756301
1120.2433,365,0.875,put,72.30677752947486
1152.2503,365,0.9,put,81.1174884395957
1184.2572,365,0.925,put,90.78448327211248
1216.2642,365,0.95,put,101.39042146671295
1248.2711,365,0.975,put,113.03242263043839
1280.2781,365,1.0,call,101.41717958462638
1312.2851,365,1.025,call,83.54398931307352
1344.292,365,1.05,call,67.12536647846227
1376.299,365,1.075,call,52.35345987284288
1408.3059,365,1.1,call,39.43921835275088
1440.3129,365,1.125,call,28.583284340928785
1472.3198,365,1.15,call,19.913784638222925
1504.3268,365,1.175,call,13.3993902160764
1536.3337,365,1.2,call,8.796967313673132
1024.2225,730,0.8,put,104.58971463587787
1056.2294,730,0.825,put,113.77940811334165
1088.2364,730,0.85,put,123.53730824283763
1120.2433,730,0.875,put,133.8944705009752
1152.2503,730,0.9,put,144.88504193954347
1184.2572,730,0.925,put,156.54665248801254
1216.2642,730,0.95,put,168.92082175012126
1248.2711,730,0.975,put,182.05335791917264
1280.2781,730,1.0,call,147.71946898325507
1312.2851,730,1.025,call,130.61883780902198
1344.292,730,1.05,call,114.44246885815397
1376.299,730,1.075,call,99.25487575537514
1408.3059,730,1.1,call,85.12372916480271
1440.3129,730,1.125,call,72.1174736865238
1472.3198,730,1.15,call,60.30124145014097
1504.3268,730,1.175,call,49.73054787490378
1536.3337,730,1.2,call,40.44260499614888
