date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-10-03,pegged,calibration rejected (boundary-pegged),0.013441898712287563,9.0,96.0,306.0
2012-10-04,pegged,calibration rejected (boundary-pegged),0.014178927200009277,14.0,101.0,393.0
2012-10-05,pegged,calibration rejected (boundary-pegged),0.015888030021470836,12.0,112.0,436.0
2012-10-08,pegged,calibration rejected (boundary-pegged),0.01200646705557172,10.0,96.0,247.0
2012-10-09,pegged,calibration rejected (boundary-pegged),0.010950811428070287,11.0,114.0,372.0
2012-10-10,pegged,calibration rejected (boundary-pegged),0.012092932819548416,12.0,107.0,393.0
2012-10-11,pegged,calibration rejected (boundary-pegged),0.012949270269766812,11.0,105.0,355.0
2012-10-12,pegged,calibration rejected (boundary-pegged),0.010280368963723883,10.0,106.0,350.0
2012-10-15,pegged,calibration rejected (boundary-pegged),0.01177542494009291,10.0,108.0,368.0
2012-10-17,pegged,calibration rejected (boundary-pegged),0.013969216267384834,10.0,113.0,357.0
2012-10-18,pegged,calibration rejected (boundary-pegged),0.011418111881126907,12.0,109.0,371.0
2012-10-19,pegged,calibration rejected (boundary-pegged),0.012683754868777451,10.0,109.0,440.0
2012-10-22,pegged,calibration rejected (boundary-pegged),0.010167356967490966,10.0,111.0,393.0
2012-10-23,pegged,calibration rejected (boundary-pegged),0.011796902659191123,12.0,106.0,445.0
2012-10-24,pegged,calibration rejected (boundary-pegged),0.012076205479660498,11.0,102.0,362.0
2012-10-25,pegged,calibration rejected (boundary-pegged),0.013989120470762895,12.0,109.0,396.0
2012-10-26,pegged,calibration rejected (boundary-pegged),0.01282297534332571,11.0,111.0,371.0
2012-10-31,pegged,calibration rejected (boundary-pegged),0.013749993612111969,12.0,110.0,394.0
2012-11-02,pegged,calibration rejected (boundary-pegged),0.014477217740753497,12.0,117.0,463.0
2012-11-15,pegged,calibration rejected (boundary-pegged),0.0159652393602697,12.0,118.0,534.0
2012-11-21,pegged,calibration rejected (boundary-pegged),0.017747421539742122,10.0,101.0,362.0
2012-11-26,pegged,calibration rejected (boundary-pegged),0.015062478889907194,10.0,119.0,395.0
2012-11-27,pegged,calibration rejected (boundary-pegged),0.014722439112294273,9.0,118.0,425.0
2012-11-28,pegged,calibration rejected (boundary-pegged),0.014273746689553,9.0,121.0,432.0
2012-11-29,pegged,calibration rejected (boundary-pegged),0.013873788993292592,11.0,116.0,418.0
2012-11-30,pegged,calibration rejected (boundary-pegged),0.01801956952289637,11.0,110.0,337.0
2012-12-03,pegged,calibration rejected (boundary-pegged),0.014159487688088786,10.0,117.0,414.0
2012-12-04,pegged,calibration rejected (boundary-pegged),0.01194053744897689,9.0,108.0,366.0
2012-12-05,pegged,calibration rejected (boundary-pegged),0.013211360854458464,10.0,120.0,415.0
2012-12-06,pegged,calibration rejected (boundary-pegged),0.01703170341237722,10.0,102.0,375.0
2012-12-07,iv_miss,calibration rejected (iv_rmse=0.0301 > 0.02),0.030074081002664437,11.0,108.0,403.0
2012-12-12,pegged,calibration rejected (boundary-pegged),0.01380177670444466,12.0,114.0,411.0
2012-12-13,pegged,calibration rejected (boundary-pegged),0.012726882615826603,11.0,111.0,414.0
2012-12-14,pegged,calibration rejected (boundary-pegged),0.01366134832173512,11.0,91.0,318.0
2012-12-19,pegged,calibration rejected (boundary-pegged),0.012932526231520984,10.0,116.0,379.0
2012-12-20,pegged,calibration rejected (boundary-pegged),0.015944660496805374,11.0,116.0,401.0
2012-12-21,pegged,calibration rejected (boundary-pegged),0.009586580589240485,11.0,112.0,423.0
2012-12-24,pegged,calibration rejected (boundary-pegged),0.008794100909848378,10.0,94.0,257.0
2012-12-26,pegged,calibration rejected (boundary-pegged),0.011310249145439174,12.0,121.0,410.0
2012-12-27,pegged,calibration rejected (boundary-pegged),0.010798795767623917,15.0,142.0,553.0
2012-12-31,pegged,calibration rejected (boundary-pegged),0.015100897055630651,13.0,124.0,508.0
2013-01-02,pegged,calibration rejected (boundary-pegged),0.013139745940326183,12.0,116.0,495.0
2013-01-03,pegged,calibration rejected (boundary-pegged),0.014086605943932722,13.0,106.0,428.0
2013-01-04,pegged,calibration rejected (boundary-pegged),0.015138079008407797,13.0,102.0,448.0
2013-01-16,pegged,calibration rejected (boundary-pegged),0.013712953400865212,10.0,115.0,358.0
2013-01-17,pegged,calibration rejected (boundary-pegged),0.011995050872386538,14.0,129.0,484.0
2013-01-18,no_trades,no trades after IV/DTM filter,,,,
2013-01-22,pegged,calibration rejected (boundary-pegged),0.009635056313322432,12.0,111.0,430.0
2013-01-23,pegged,calibration rejected (boundary-pegged),0.011412472826683125,11.0,102.0,356.0
2013-01-24,pegged,calibration rejected (boundary-pegged),0.01069557875617585,15.0,121.0,528.0
2013-01-25,pegged,calibration rejected (boundary-pegged),0.009208595603642494,13.0,123.0,418.0
2013-01-28,pegged,calibration rejected (boundary-pegged),0.008958057249295413,13.0,107.0,362.0
2013-01-29,pegged,calibration rejected (boundary-pegged),0.009027625063028975,13.0,117.0,430.0
2013-01-30,pegged,calibration rejected (boundary-pegged),0.008393958039363505,12.0,115.0,407.0
2013-01-31,pegged,calibration rejected (boundary-pegged),0.00888344269433696,13.0,101.0,393.0
2013-02-01,pegged,calibration rejected (boundary-pegged),0.011358920743913592,15.0,108.0,459.0
2013-02-06,pegged,calibration rejected (boundary-pegged),0.00794076233534651,13.0,98.0,360.0
2013-02-07,pegged,calibration rejected (boundary-pegged),0.009412001087959464,12.0,117.0,440.0
2013-02-08,pegged,calibration rejected (boundary-pegged),0.007216970049160851,11.0,93.0,362.0
2013-02-11,pegged,calibration rejected (boundary-pegged),0.006257950128427272,10.0,89.0,308.0
2013-02-12,pegged,calibration rejected (boundary-pegged),0.009006088987582803,11.0,95.0,346.0
2013-02-13,no_trades,no trades after IV/DTM filter,,,,
2013-02-14,pegged,calibration rejected (boundary-pegged),0.01005511437025966,12.0,104.0,385.0
2013-02-15,pegged,calibration rejected (boundary-pegged),0.012301432292213204,11.0,121.0,434.0
