date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-03,1280.2781,0.001578,0.020857999999999998,0.4615427256620577,0.1506871398575463,-0.890947697980853,0.5645405891133274,0.047149905334818026,-0.17960897025227954,0.013139030663880037,0.12642748732999662,148,True,10,65,148,411532,1258.86,1284.62,0.02046295854979907,False,2012-01-03 16:19:32.944
2012-01-04,1274.5341,0.001578,0.020857999999999998,0.4130755387927608,0.15542213084325376,-0.9503089310257907,0.43516414310279644,0.0417690750071818,-0.06096567056559907,0.01773290972909476,0.13999783814230993,150,True,12,57,150,333753,1268.15,1278.73,0.008342861648858557,False,2012-01-04 16:18:53.950
2012-01-05,1274.7639,0.001776,0.020865,0.07763454314914114,5.788601105652512,-0.8037025227355832,1.3933334920104727,0.031609876210493985,-1.0425874153382058,0.01094974740588508,0.08640275197604232,146,True,10,49,146,367118,1265.26,1283.05,0.014060351232157764,False,2012-01-05 16:19:56.174
2012-01-06,1278.3834,0.001675,0.020933999999999998,0.1301080577283246,1.469805376419351,-0.837519344208283,1.2928645896641286,0.03948564238226138,-1.289031801678254,0.018660987414813868,0.17270022387654746,113,True,9,48,113,403252,1273.41,1281.76,0.006557196817992494,False,2012-01-06 16:14:54.855
2012-01-09,1279.1743,0.001675,0.020933999999999998,0.09831372316819159,2.25676230471883,-0.8147860323132222,1.252980836583319,0.03845524896553651,-1.1262195678799598,0.016503931747245376,0.16768634353597728,137,True,11,58,137,397522,1274.75,1281.99,0.005679545008825171,False,2012-01-09 16:17:32.665
2012-01-10,1293.0522,0.0015229999999999998,0.020710000000000003,0.10887485047133248,1.9261272701710486,-0.8541758166680292,1.0048254308033062,0.03163499414647115,-0.5902605093317925,0.01090660969376874,0.10170193002418935,146,True,11,54,146,509328,1280.77,1296.46,0.012250443092826968,False,2012-01-10 16:16:41.310
2012-01-11,1289.2819,0.001675,0.020712,0.1559768981201345,0.7254735757675126,-0.9071168401956964,0.690681351659298,0.032456229372850295,-0.2507264934972369,0.015596925743273293,0.16456219198970967,136,True,10,53,136,411236,1285.41,1293.79,0.006519320683672891,False,2012-01-11 16:18:11.721
2012-01-17,1297.2946,0.000967,0.020705,0.13452945297648944,1.3814595474301974,-0.7764278116810299,1.2705339017186743,0.04654457037087618,-1.2425624009666116,0.00791246415781552,0.06002714571885383,118,True,9,55,118,365222,1290.88,1302.92,0.009326970748636532,False,2012-01-17 16:19:52.232
2012-01-19,1313.1197,0.001017,0.020395,0.09249525508626068,3.3349984956665075,-0.7763008640682691,1.695234463172396,0.03244290915004292,-2.256876811989463,0.011697065158232753,0.12396530712455149,134,True,10,49,134,519270,1308.07,1315.47,0.0056571895999451005,False,2012-01-19 16:19:09.253
2012-01-23,1316.1526,0.001017,0.020457999999999997,0.09024470179176418,3.231408302332409,-0.7978433512998595,1.733187754201154,0.03505277120906996,-2.4207048340900017,0.01376623236804539,0.12045394112999078,143,True,10,59,143,417182,1309.89,1322.26,0.009443541060699667,False,2012-01-23 16:19:46.734
2012-01-24,1311.9823,0.001017,0.02048,0.08775035218565476,3.840169153848766,-0.8126105037729373,1.7425849114486707,0.032293771757318096,-2.362649782203137,0.008080942806661202,0.08645117766362906,119,True,8,53,119,280152,1306.06,1315.96,0.007580049921136922,False,2012-01-24 16:15:42.592
2012-01-25,1316.3401,0.000967,0.020305,0.08754535732252293,3.0070574269668446,-0.7942463406133314,1.4711030917883103,0.028696674361510802,-1.6376364728028083,0.008524093687578862,0.08826524283687287,128,True,9,53,128,333136,1307.75,1328.3,0.01571401261709049,False,2012-01-25 16:17:22.209
2012-01-26,1323.0697,0.001017,0.020427,0.12308684883140042,0.8003795732450466,-0.8897306839158476,0.5863065282264986,0.026100413202615087,-0.1467229459615024,0.009523755341551312,0.10720160525955688,168,True,12,53,168,561062,1313.6,1333.47,0.015126370280146295,False,2012-01-26 16:15:38.183
2012-01-27,1315.597,0.0010680000000000002,0.020481,0.08232205149500546,3.71794395910318,-0.7284403035530378,1.7408419984556875,0.03111356637117784,-2.4183933154735193,0.007451608165648438,0.07229292612773358,138,True,10,48,138,388472,1311.72,1319.99,0.006304699173604211,False,2012-01-27 16:19:45.887
2012-01-30,1307.3423,0.001119,0.020534,0.10420210915373675,1.2414469483042616,-0.8296885977550181,0.7597325197691545,0.03211141210090689,-0.31847072076324057,0.007657773811145015,0.08417973161005618,124,True,8,47,124,334109,1300.54,1316.16,0.01201039568179385,False,2012-01-30 16:19:16.467
2012-01-31,1312.0914,0.001119,0.020543999999999996,0.0883349285827446,1.653159530187367,-0.819223106128181,0.7893737285625831,0.031208463908238445,-0.33104742527482534,0.008145805044586101,0.07432367848831102,136,True,9,58,136,279462,1306.78,1321.41,0.011195457536846476,False,2012-01-31 16:19:32.133
2012-02-01,1326.3746,0.001017,0.020402999999999998,0.15766000586253942,0.6763969209687095,-0.8609151711500342,0.756398390925815,0.029524335806184326,-0.3588570407445013,0.009400689566437434,0.10469156110222293,158,True,11,55,158,548072,1312.45,1330.42,0.013691950169530287,False,2012-02-01 16:17:27.145
2012-02-02,1325.8495,0.0012720000000000001,0.020387,0.08343295833080966,1.7957868217296409,-0.7932729601509859,0.8064527202816395,0.024050762877767556,-0.35071037591288373,0.01013746388100865,0.11179776224922308,145,True,10,50,145,326913,1321.57,1329.19,0.0057658693826283525,False,2012-02-02 16:18:23.720
2012-02-03,1342.3373,0.001527,0.020125,0.12479817625941161,0.8439508501496459,-0.835305046237674,0.8415501795687363,0.025856490199580716,-0.4975596508296608,0.011792365084412651,0.15317908545423636,159,True,11,63,159,844487,1326.21,1345.34,0.014424563229051168,False,2012-02-03 16:18:17.180
2012-02-06,1341.8198,0.001527,0.020125,0.12319425112652677,0.8743580387333325,-0.8833178741705233,0.7081128073463183,0.02536725165679356,-0.285991980331461,0.007724706066717364,0.09818590083084246,139,True,10,53,139,309005,1337.52,1344.36,0.005113942221424583,False,2012-02-06 16:18:29.000
2012-02-08,1347.6731,0.001573,0.020081,0.12723217749314453,0.7189978535550742,-0.8638279260372327,0.6296094577210978,0.025178181232451528,-0.21344874421043653,0.00918287664526502,0.12083826722082419,156,True,11,56,156,396798,1342.16,1351.0,0.006586398044942321,False,2012-02-08 16:20:03.339
2012-02-09,1350.4251,0.001573,0.020081,0.13579897547044045,1.1006759215906503,-0.8499109239409212,1.064274392767917,0.0269564725195408,-0.8337386581475321,0.013875800603934906,0.17482297133390098,151,True,11,53,151,519778,1344.63,1354.28,0.007176695447818293,False,2012-02-09 16:18:39.424
2012-02-10,1340.6685,0.0015229999999999998,0.0202,0.10939109355257559,2.212687998375891,-0.8172954561632284,1.685856472892278,0.03908313534561703,-2.3580153275267954,0.012862317943831586,0.1431803504255085,158,True,12,60,158,696597,1337.35,1351.95,0.01091711219949909,False,2012-02-10 16:17:22.758
2012-02-13,1350.0178,0.0016289999999999998,0.020104999999999998,0.20500009992526294,0.37954340319350394,-0.841351945769734,0.6754419819121847,0.03405554599632292,-0.3006089997681748,0.009666896454705908,0.11136250746299081,125,True,9,57,125,456122,1343.06,1353.32,0.007639271514303214,False,2012-02-13 16:19:37.873
2012-02-15,1350.2688,0.001527,0.0203,0.1534652607702497,1.0244177701790067,-0.769203733404989,1.1662089943709362,0.0396393748040386,-1.0456183380752724,0.00824882053103893,0.06353998273764146,124,True,9,40,124,920517,1340.8,1355.81,0.011194809069212441,False,2012-02-15 16:19:57.550
2012-02-16,1352.2657,0.001527,0.020093999999999997,0.11971772923752085,2.1313717118589652,-0.8461756768033729,1.407528393816583,0.0268260262359118,-1.4708102163902042,0.0123906867934854,0.12293394292814529,155,True,11,53,155,579329,1341.22,1359.02,0.013271499082924576,False,2012-02-16 16:16:03.569
2012-02-24,1366.5133,0.001578,0.020028,0.10087875905074636,1.553184625937858,-0.8498386161778245,0.8620876668679108,0.021108117800691318,-0.4298284700831404,0.009329068090787738,0.11384321592160644,121,True,8,52,121,474709,1363.46,1368.88,0.003975180790048993,False,2012-02-24 16:16:42.743
2012-02-27,1366.104,0.001578,0.020021,0.11036834453054062,2.069470323043612,-0.8305942203888189,1.4595198295871914,0.027809459359923093,-1.673390105739411,0.008849595328099544,0.09918265509999191,154,True,11,64,154,375335,1354.99,1371.94,0.012509317411936616,False,2012-02-27 16:19:08.776
2012-02-28,1370.8432,0.001578,0.019975,0.14615128938587385,0.9448256259680747,-0.8833334956461736,0.8904528017802921,0.025829926044032347,-0.5167312252382731,0.009424267768655984,0.11117160498641795,148,True,10,58,148,404700,1366.08,1373.09,0.0051314710705083755,False,2012-02-28 16:19:37.706
2012-02-29,1370.6063,0.001578,0.020087,0.10909488831668154,2.260635167965082,-0.8683722510945325,1.5170099182118613,0.02783569808359132,-1.8080716096053313,0.007470836760090974,0.08356987031093431,161,True,12,57,161,452709,1363.81,1378.04,0.010434004736730174,False,2012-02-29 16:18:48.272
2012-03-01,1372.2943,0.001017,0.019892,0.12390321282410134,0.9752339738755912,-0.8072415695331946,0.8069973308312127,0.021364357244839618,-0.40957544673189894,0.009694421558290901,0.11156765568733637,161,True,12,50,161,480003,1365.9,1376.15,0.0075042096786002155,False,2012-03-01 16:16:53.057
2012-03-02,1370.3347,0.001221,0.019957,0.12576469712543945,1.1193105755979396,-0.8969564628625898,0.7879824249705872,0.02027129104183311,-0.3393767910037748,0.009083469740149841,0.10474877702022843,141,True,10,51,141,333478,1366.42,1374.52,0.005927899181803475,False,2012-03-02 16:19:15.569
2012-03-05,1362.981,0.001777,0.020038999999999998,0.13134983272239756,1.5290036345811975,-0.8474563806983726,1.2890414700663466,0.025880219634332038,-1.2599591682824516,0.009976007970871828,0.11995911303114434,158,True,12,66,158,366889,1359.13,1369.59,0.007696099710844395,False,2012-03-05 16:18:26.655
2012-03-06,1344.4069,0.001777,0.020038999999999998,0.13976384187598623,1.5068360243301187,-0.8604048323102512,1.3067639898671113,0.03448447908935594,-1.2864297415383827,0.007452698000974605,0.06613897395641674,148,True,11,56,148,626016,1340.03,1363.63,0.017611546010164014,False,2012-03-06 16:19:45.864
2012-03-07,1350.6833,0.00198,0.020265,0.15242799417020012,1.160805759576717,-0.8604777102456008,1.1256172447279698,0.029235273541661735,-0.9131355945219971,0.012514663566730337,0.12858276413356393,138,True,10,50,138,423074,1343.39,1354.85,0.008530657515687823,False,2012-03-07 16:19:31.957
2012-03-08,1363.5445,0.001573,0.020146999999999998,0.15653844694237512,0.7787362421473843,-0.8801465282817905,0.7514774181354386,0.023482537499543873,-0.3209139861205189,0.007729511578216563,0.07874100325146836,130,True,9,49,130,502896,1352.65,1368.72,0.011880382951983126,False,2012-03-08 16:18:48.221
2012-03-09,1371.9708,0.001573,0.019995,0.16085184478750225,0.6886666226677353,-0.8784267544843168,0.6744738622572614,0.02021913316820966,-0.23336839746885932,0.01515660477651262,0.1358247950660177,145,True,11,51,145,518944,1365.97,1374.76,0.006434987591235508,False,2012-03-09 16:16:59.566
2012-03-12,1369.7566,0.001675,0.020005000000000002,0.10199755830214849,2.564195962423399,-0.8175409202548379,1.946282790890783,0.029755442081935837,-3.2649332477667863,0.01600126925547074,0.2161358357019084,124,True,10,58,124,305821,1366.72,1373.04,0.004624209786935118,False,2012-03-12 16:14:53.358
2012-03-13,1383.8038,0.001878,0.01968,0.1120635083025588,1.3810645212271717,-0.8292563108680364,1.1497347729865546,0.024814904263803728,-1.012356177332623,0.008012461772496293,0.11231874871358513,142,True,10,56,142,596775,1371.92,1396.13,0.017646801562773318,False,2012-03-13 16:19:01.235
2012-03-14,1395.0612,0.00198,0.01977,0.12533651926840134,1.0217941915883517,-0.8562250092182214,0.8655885221652142,0.023587356136121736,-0.4931072349394515,0.0072955215043547525,0.07374609354779652,146,True,11,55,146,452083,1389.97,1399.41,0.006791513485902678,False,2012-03-14 16:15:46.878
2012-03-15,1398.7392,0.001929,0.019656,0.1157055293809189,0.9259572731710659,-0.8581236802278602,0.6369425928888915,0.018188182428083417,-0.19141911368328363,0.011138300676127522,0.11843562502359775,146,True,11,50,146,560221,1392.85,1402.63,0.0070215744696127125,False,2012-03-15 16:18:24.226
2012-03-16,1404.2632,0.001929,0.019635,0.09036484777337664,2.995887004621185,-0.7439575934313413,1.911355758421619,0.01900782210709526,-3.111835089013821,0.009120611514022454,0.10616722017977637,135,True,9,45,135,499268,1401.52,1405.88,0.0031109081568583274,False,2012-03-16 16:18:20.295
2012-03-19,1409.9151,0.00198,0.019481,0.07033412943553091,3.183558582590636,-0.7813775038023609,1.3156695184404725,0.019109672661049765,-1.2831606389263348,0.009054458689567049,0.10188602609186574,163,True,12,54,163,562674,1402.47,1413.92,0.008164167504474351,False,2012-03-19 16:19:26.893
2012-03-20,1403.3243,0.00198,0.01954,0.09257549330468991,2.004378403098556,-0.8223164910405169,1.190476793124148,0.022067292313549702,-1.0461223560949247,0.007289988285038622,0.08366176434373163,137,True,11,50,137,476741,1397.68,1409.59,0.008521263808596968,False,2012-03-20 16:19:38.110
2012-03-21,1404.7443,0.001878,0.01958,0.08547097322761837,1.8511219050135266,-0.8164173974129965,1.0393629858450453,0.020128529593294277,-0.7638410347757896,0.00719904116486394,0.08966645205053235,145,True,11,48,145,653011,1400.64,1407.75,0.00507625085675123,False,2012-03-21 16:17:57.130
2012-03-22,1392.7061,0.001827,0.019764999999999998,0.11383685162388876,1.112617593478987,-0.8377621856520777,0.900152998055467,0.02336930622028624,-0.5569616521022543,0.006591404413464993,0.08382858991039795,161,True,12,56,161,514221,1388.73,1402.89,0.010196366464323647,False,2012-03-22 16:18:08.628
2012-03-23,1394.7097,0.001726,0.019704,0.11203989699974833,1.4172314249448605,-0.8176920616021904,1.2754651117195632,0.024051305222351924,-1.3092383254625406,0.009870687869983137,0.10700131478793923,128,True,10,53,128,273331,1386.94,1399.13,0.008789132911301234,False,2012-03-23 16:16:37.799
2012-03-26,1411.9875,0.001726,0.019406,0.09140411578870648,1.3702267717317795,-0.8006685324390621,0.9799100741930378,0.01896528166880384,-0.7097350205046906,0.007685514865375449,0.1144050811426193,135,True,10,53,135,426809,1397.11,1416.58,0.01393591055822374,False,2012-03-26 16:18:28.121
2012-03-27,1416.529,0.0016239999999999998,0.019479,0.10978461279659986,1.1090225827865485,-0.8180480641799333,1.079735662268684,0.024164991125611,-0.9223218707069809,0.0073141676544651,0.10061282512125831,139,True,11,53,139,408675,1411.95,1419.14,0.005092248309076064,False,2012-03-27 16:19:44.962
2012-03-28,1406.45,0.001675,0.019617,0.07438915244917685,2.2468975740045183,-0.7900363865935468,1.138734944883372,0.02234108938936625,-0.9624276623579207,0.008429086089484165,0.11468911257933924,138,True,10,61,138,503110,1397.24,1413.65,0.011744582176290486,False,2012-03-28 16:18:36.242
2012-03-29,1396.3558,0.001675,0.019652,0.07639284079216621,3.097308082624393,-0.8035972463386616,1.5512283844351429,0.023060863399119988,-1.9330851741968338,0.006664063157340425,0.07814604098341726,136,True,10,60,136,386553,1391.83,1405.39,0.009742569135598567,False,2012-03-29 16:18:08.448
2012-03-30,1407.9328,0.001675,0.019583,0.08529657562343931,1.87897410410068,-0.8183382210078448,1.1838302285803208,0.021924440701215634,-1.080913896570719,0.007236015913238235,0.10417636700518132,135,True,11,59,135,378476,1401.42,1410.89,0.006757431747798748,False,2012-03-30 16:19:26.517
2012-04-02,1417.6171,0.001675,0.019583,0.08391997064173168,2.1362718884555916,-0.7971288973107745,1.4347021098222292,0.023233422556978398,-1.6998183956044561,0.008853830556129474,0.11029507952453162,132,True,9,58,132,538517,1404.46,1422.38,0.01275935234894554,False,2012-04-02 16:18:51.566
