date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2015-11-17,pegged,calibration rejected (boundary-pegged),0.00890956561429143,12.0,41.0,187.0
2015-11-18,pegged,calibration rejected (boundary-pegged),0.009898031209606712,12.0,43.0,180.0
2015-11-19,pegged,calibration rejected (boundary-pegged),0.010067076369704449,12.0,53.0,188.0
2015-11-20,pegged,calibration rejected (boundary-pegged),0.011286394265207883,12.0,50.0,178.0
2015-11-24,iv_miss,calibration rejected (iv_rmse=0.2437 > 0.02),0.24369940834001966,12.0,54.0,177.0
2015-12-10,pegged,calibration rejected (boundary-pegged),0.00802297280177277,12.0,54.0,185.0
2015-12-11,pegged,calibration rejected (boundary-pegged),0.011684053674184916,12.0,46.0,183.0
2015-12-18,pegged,calibration rejected (boundary-pegged),0.005648535341248857,12.0,43.0,184.0
2015-12-22,pegged,calibration rejected (boundary-pegged),0.006560262213349904,11.0,52.0,168.0
2015-12-23,pegged,calibration rejected (boundary-pegged),0.007312925150177417,12.0,51.0,186.0
2016-01-19,pegged,calibration rejected (boundary-pegged),0.00797673915744244,12.0,38.0,185.0
2016-01-20,pegged,calibration rejected (boundary-pegged),0.014497006334598704,12.0,34.0,185.0
2016-01-21,pegged,calibration rejected (boundary-pegged),0.011644952254405446,12.0,44.0,187.0
2016-01-29,pegged,calibration rejected (boundary-pegged),0.005790403391810757,12.0,31.0,188.0
2016-02-01,pegged,calibration rejected (boundary-pegged),0.008048259732323402,12.0,45.0,185.0
2016-02-03,pegged,calibration rejected (boundary-pegged),0.010414392472168204,12.0,37.0,186.0
2016-02-05,pegged,calibration rejected (boundary-pegged),0.007340588762259551,12.0,44.0,187.0
2016-02-11,pegged,calibration rejected (boundary-pegged),0.007339289787214759,12.0,33.0,184.0
2016-02-16,pegged,calibration rejected (boundary-pegged),0.009211341144691474,12.0,34.0,191.0
2016-02-17,pegged,calibration rejected (boundary-pegged),0.007589453472227101,12.0,25.0,183.0
2016-02-18,pegged,calibration rejected (boundary-pegged),0.009416945021422169,12.0,39.0,185.0
2016-02-19,pegged,calibration rejected (boundary-pegged),0.013744146359611666,12.0,40.0,186.0
2016-02-22,pegged,calibration rejected (boundary-pegged),0.006387509386470176,12.0,43.0,192.0
2016-02-29,pegged,calibration rejected (boundary-pegged),0.006148627175204831,12.0,41.0,185.0
2016-03-01,pegged,calibration rejected (boundary-pegged),0.006051445570079907,12.0,24.0,180.0
2016-03-02,pegged,calibration rejected (boundary-pegged),0.006625898795317133,12.0,37.0,185.0
2016-03-04,pegged,calibration rejected (boundary-pegged),0.004315240348353604,12.0,33.0,181.0
2016-03-07,pegged,calibration rejected (boundary-pegged),0.004713757593928568,12.0,36.0,190.0
2016-03-10,pegged,calibration rejected (boundary-pegged),0.006769482511404902,12.0,32.0,184.0
2016-03-11,pegged,calibration rejected (boundary-pegged),0.005305055554195697,12.0,27.0,182.0
2016-03-14,pegged,calibration rejected (boundary-pegged),0.005084653139523738,12.0,47.0,185.0
2016-03-16,pegged,calibration rejected (boundary-pegged),0.006246809868066911,12.0,39.0,183.0
2016-03-17,pegged,calibration rejected (boundary-pegged),0.007415393848313484,12.0,39.0,182.0
2016-03-18,pegged,calibration rejected (boundary-pegged),0.0052585595317794645,12.0,43.0,181.0
2016-03-21,pegged,calibration rejected (boundary-pegged),0.005057082014800625,12.0,38.0,182.0
2016-03-22,pegged,calibration rejected (boundary-pegged),0.006872321487565956,12.0,39.0,179.0
2016-03-23,pegged,calibration rejected (boundary-pegged),0.004260430281074772,11.0,34.0,172.0
2016-03-28,pegged,calibration rejected (boundary-pegged),0.006858539137102068,12.0,47.0,182.0
2016-03-29,pegged,calibration rejected (boundary-pegged),0.007513623093310088,12.0,43.0,185.0
2016-03-30,pegged,calibration rejected (boundary-pegged),0.005108208904339702,12.0,39.0,184.0
2016-04-01,pegged,calibration rejected (boundary-pegged),0.0069831566223528315,12.0,46.0,184.0
2016-04-06,pegged,calibration rejected (boundary-pegged),0.0077460514490848295,12.0,54.0,176.0
2016-04-07,pegged,calibration rejected (boundary-pegged),0.005006526321777459,12.0,33.0,185.0
2016-04-08,pegged,calibration rejected (boundary-pegged),0.00638130665410048,12.0,45.0,184.0
2016-04-11,pegged,calibration rejected (boundary-pegged),0.0051967201631517345,12.0,41.0,185.0
2016-04-12,pegged,calibration rejected (boundary-pegged),0.0053705800507050485,12.0,29.0,184.0
2016-04-14,pegged,calibration rejected (boundary-pegged),0.004495667694107486,12.0,46.0,184.0
2016-04-29,pegged,calibration rejected (boundary-pegged),0.00475742442090458,12.0,28.0,185.0
2016-05-06,pegged,calibration rejected (boundary-pegged),0.0057914144654547025,12.0,49.0,185.0
2016-05-10,pegged,calibration rejected (boundary-pegged),0.005148009456410173,12.0,35.0,186.0
2016-05-11,pegged,calibration rejected (boundary-pegged),0.007005607713988435,12.0,40.0,183.0
2016-05-13,pegged,calibration rejected (boundary-pegged),0.0065457119081639955,12.0,34.0,183.0
2016-05-17,pegged,calibration rejected (boundary-pegged),0.0077961015914648525,12.0,31.0,185.0
2016-05-18,pegged,calibration rejected (boundary-pegged),0.0071740927291089555,12.0,35.0,188.0
2016-05-19,pegged,calibration rejected (boundary-pegged),0.007048217885386183,12.0,30.0,182.0
2016-05-20,pegged,calibration rejected (boundary-pegged),0.0067475512980999025,12.0,34.0,186.0
2016-05-23,pegged,calibration rejected (boundary-pegged),0.007106775879696349,12.0,36.0,184.0
2016-05-25,pegged,calibration rejected (boundary-pegged),0.004558512080178524,12.0,32.0,182.0
2016-05-26,pegged,calibration rejected (boundary-pegged),0.005963965640828492,11.0,43.0,167.0
2016-05-31,pegged,calibration rejected (boundary-pegged),0.0063049885370737935,12.0,30.0,190.0
2016-06-02,pegged,calibration rejected (boundary-pegged),0.005872734553373938,12.0,45.0,187.0
2016-06-03,pegged,calibration rejected (boundary-pegged),0.006125709923329932,12.0,37.0,184.0
2016-06-06,pegged,calibration rejected (boundary-pegged),0.005359675777765543,12.0,33.0,185.0
2016-06-07,pegged,calibration rejected (boundary-pegged),0.004819263392442588,12.0,29.0,183.0
2016-06-08,pegged,calibration rejected (boundary-pegged),0.006704668420063247,12.0,39.0,187.0
2016-06-09,pegged,calibration rejected (boundary-pegged),0.007650424570717643,12.0,31.0,188.0
2016-06-10,pegged,calibration rejected (boundary-pegged),0.006886791216620238,12.0,38.0,188.0
2016-06-13,pegged,calibration rejected (boundary-pegged),0.011461619564067358,12.0,31.0,183.0
2016-06-16,pegged,calibration rejected (boundary-pegged),0.010024808358885176,12.0,42.0,183.0
2016-06-20,pegged,calibration rejected (boundary-pegged),0.0072899987845583165,12.0,36.0,184.0
2016-06-21,pegged,calibration rejected (boundary-pegged),0.007759259779865455,12.0,44.0,187.0
2016-06-22,pegged,calibration rejected (boundary-pegged),0.013308222984829804,12.0,38.0,187.0
2016-06-23,pegged,calibration rejected (boundary-pegged),0.0059264877068262835,11.0,34.0,169.0
2016-06-24,pegged,calibration rejected (boundary-pegged),0.014019285605126997,12.0,41.0,185.0
2016-06-30,pegged,calibration rejected (boundary-pegged),0.004721628001885897,12.0,42.0,189.0
2016-07-01,pegged,calibration rejected (boundary-pegged),0.0037371655994020087,12.0,33.0,184.0
2016-07-07,pegged,calibration rejected (boundary-pegged),0.004572396241016761,12.0,43.0,183.0
2016-07-08,pegged,calibration rejected (boundary-pegged),0.00373717835259195,12.0,30.0,181.0
2016-07-14,pegged,calibration rejected (boundary-pegged),0.004046489643261692,12.0,39.0,184.0
2016-07-20,pegged,calibration rejected (boundary-pegged),0.005516187451764261,12.0,39.0,189.0
2016-07-25,pegged,calibration rejected (boundary-pegged),0.015854952079241404,12.0,44.0,186.0
2016-07-27,pegged,calibration rejected (boundary-pegged),0.010156707043413848,12.0,37.0,192.0
2016-08-01,pegged,calibration rejected (boundary-pegged),0.0025906692118289687,12.0,32.0,184.0
2016-08-24,pegged,calibration rejected (boundary-pegged),0.004638871966872723,12.0,32.0,184.0
2016-09-01,pegged,calibration rejected (boundary-pegged),0.004653178038620017,12.0,44.0,184.0
2016-09-09,pegged,calibration rejected (boundary-pegged),0.011720514228603734,12.0,23.0,183.0
2016-10-07,pegged,calibration rejected (boundary-pegged),0.006679220598884694,12.0,35.0,183.0
2016-10-12,pegged,calibration rejected (boundary-pegged),0.006220726725829394,12.0,27.0,184.0
2016-10-13,pegged,calibration rejected (boundary-pegged),0.009330540848166655,12.0,22.0,182.0
2016-10-14,pegged,calibration rejected (boundary-pegged),0.00869885139762675,12.0,39.0,183.0
2016-10-17,pegged,calibration rejected (boundary-pegged),0.00622072842873904,12.0,37.0,182.0
2016-10-18,pegged,calibration rejected (boundary-pegged),0.009129476205419883,12.0,38.0,172.0
2016-10-19,pegged,calibration rejected (boundary-pegged),0.006635950556257659,12.0,31.0,181.0
2016-10-20,pegged,calibration rejected (boundary-pegged),0.008231864713411323,12.0,39.0,180.0
2016-10-21,pegged,calibration rejected (boundary-pegged),0.006766204112836463,12.0,34.0,189.0
