date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-18,1298.6547,0.001017,0.020491000000000002,0.043646643736654535,1.0919358969989785,-0.7980999592818441,0.5058705923585539,0.03185738005461546,0.14168977906660402,-0.4537118472199032,0.409671961684568,-0.16058638205403677,0.007975730909387406,0.1313172739245,313,True,9,107,313,678202,1291.14,1308.04,0.013089207986740403,False,2012-01-18 16:14:58.089
2012-01-19,1313.1668,0.001017,0.020395,0.08169992219121276,0.6109438986646841,-0.82342136953787,0.4813521462868302,0.02570472748150419,0.10092015803553551,-0.49999998959382275,0.49357549402945655,-0.13187175076673624,0.005619633760728543,0.0977777450065313,243,True,8,91,243,359925,1308.07,1315.47,0.0056571895999451005,False,2012-01-19 16:19:09.254
2012-01-20,1311.6792,0.001017,0.020383,0.11683488638541073,0.5719398818258,-0.7935402482037192,0.5742006999363242,0.02511567388447693,0.07985463435865672,-0.4848309679427154,0.49995940685634926,-0.1960613815825594,0.007051310988576281,0.1824299001729339,241,True,7,95,241,434863,1309.2,1315.38,0.004720439963336487,False,2012-01-20 16:16:15.514
2012-01-23,1316.1228,0.001017,0.020457999999999997,0.09619909395654731,0.48305610432071083,-0.8272715906366889,0.4697135490252684,0.024509588499675907,0.08864620074633564,-0.466942101185766,0.4999540246491995,-0.12769169900624966,0.006898011358795967,0.11730181131891529,315,True,9,103,315,335741,1309.97,1322.26,0.009381894241852873,False,2012-01-23 16:17:27.394
2012-01-24,1311.9362,0.001017,0.02048,0.07396883498763927,0.8387135335589073,-0.7989801688109364,0.5396071861312106,0.02479567018930809,0.09609734200588108,-0.4286831379997724,0.47102131435417066,-0.16709858939300565,0.006947615822858724,0.2900482193095438,260,True,8,91,260,211520,1306.15,1315.96,0.007510622822799684,False,2012-01-24 16:15:28.883
2012-01-25,1316.1761,0.000967,0.020305,0.1303922616537553,0.3716422224436214,-0.8561435113966221,0.45128157542211406,0.022405421716684755,0.08862518464285984,-0.4334914457010947,0.4999505717058327,-0.10673652049456159,0.006772474445041419,0.17579553403492207,317,True,8,105,317,254963,1307.75,1328.3,0.01571401261709049,False,2012-01-25 16:18:45.401
2012-01-26,1323.2468,0.001017,0.020427,0.09484292188338823,0.5590013690047666,-0.8051550232457803,0.4787259087050101,0.0232339821319729,0.07807232551502181,-0.4422781781860244,0.49996751406233725,-0.12314384931898534,0.006915664764424489,0.1798136659553832,381,True,9,113,381,391850,1313.6,1333.47,0.015126370280146295,False,2012-01-26 16:19:31.408
2012-01-27,1315.6682,0.0010680000000000002,0.020481,0.26429890954026747,0.21506046139169954,-0.7972191184635381,0.555847900075523,0.025383342081445864,0.06287079682088854,-0.3959889219564545,0.4999500098232956,-0.19528639715626261,0.007486997554858127,0.18498796193610478,293,True,9,94,293,274444,1311.72,1319.99,0.006304699173604211,False,2012-01-27 16:19:45.886
2012-01-30,1307.1162,0.001119,0.020534,0.328866784966663,0.10851761512788705,-0.8570759508484284,0.4212631315233972,0.02677094192794156,0.09320235364482186,-0.383179146880835,0.4699441260705807,-0.10608694758218322,0.0059668918205670034,0.15354857589129473,327,True,8,103,327,256070,1300.54,1316.16,0.01201039568179385,False,2012-01-30 16:19:16.467
2012-01-31,1312.0988,0.001119,0.020543999999999996,0.13979328025568868,0.3071151174175279,-0.826151184303953,0.47400134942794625,0.026996934458230794,0.07890247396055731,-0.4266472452346463,0.49995000649368765,-0.13881201989969957,0.00640963915501329,0.13736566086503194,322,True,9,103,322,210606,1306.78,1321.41,0.011195457536846476,False,2012-01-31 16:19:32.133
