strike,maturity_days,moneyness,w,implied_vol,price
1357.0948,40,1.06,call,0.17912415587125707,6.279034629266317
1369.8976,40,1.07,call,0.17197331873506613,4.006803710629111
1382.7003,40,1.08,call,0.16478980105751356,2.3807431035518074
1395.5031,40,1.09,call,0.15782737969031074,1.3071423398770183
1408.3059,40,1.1,call,0.15137947336387597,0.6618864798291672
1421.1087,40,1.11,call,0.14567958239304268,0.31047440643453644
1433.9115,40,1.12,call,0.14083542025643794,0.13610363725745425
1446.7143,40,1.13,call,0.13683526269589202,0.05633399994945605
1459.517,40,1.14,call,0.13359625228621713,0.022231505866407115
1472.3198,40,1.15,call,0.13100955193227617,0.00843614325271504
1485.1226,40,1.16,call,0.128965809224744,0.003100005087925585
1497.9254,40,1.17,call,0.12736838332459063,0.0011095392019801061
1510.7282,40,1.18,call,0.12613553663723015,0.0003886398648300961
1523.5309,40,1.19,call,0.125200729353894,0.00013374299751082777
1536.3337,40,1.2,call,0.1245101409990588,4.5364251999644243e-05
960.2086,45,0.75,put,0.3285541594194588,0.27776936688251674
973.0114,45,0.76,put,0.32462534267291365,0.35909540788744787
985.8141,45,0.77,put,0.3206793303339705,0.4617945701430726
998.6169,45,0.78,put,0.31671395082861525,0.5907996130210792
1011.4197,45,0.79,put,0.31272672923709405,0.7520045694585753
1024.2225,45,0.8,put,0.30871505482954686,0.9524095774475717
1037.0253,45,0.81,put,0.30467666318536535,1.2002778562825813
1049.828,45,0.82,put,0.3006084586985185,1.5053035444268512
1062.6308,45,0.83,put,0.2965067870972804,1.878788384338843
1075.4336,45,0.84,put,0.2923696052394969,2.3338243725600822
1088.2364,45,0.85,put,0.2881928187042156,2.8854784859480627
1101.0392,45,0.86,put,0.2839723916162417,3.550974446706236
1113.8419,45,0.87,put,0.2797044235371526,4.349865205277585
1126.6447,45,0.88,put,0.27538467668645433,5.30418841409665
1139.4475,45,0.89,put,0.2710083129497879,6.4385956586270465
1152.2503,45,0.9,put,0.26656970396189084,7.780444638081386
1165.0531,45,0.91,put,0.26206317678869995,9.35984189277817
1177.8559,45,0.92,put,0.257482148248161,11.2096221194398
1190.6586,45,0.93,put,0.25281934560808456,13.365248678629419
1203.4614,45,0.94,put,0.24806663567888043,15.864618678790052
1216.2642,45,0.95,put,0.2432147174403804,18.747755141554187
1229.067,45,0.96,put,0.23825364664160167,22.056368365070128
1241.8698,45,0.97,put,0.23317126246664577,25.833268899997787
1254.6725,45,0.98,put,0.22795409751079246,30.121615802843113
1267.4753,45,0.99,put,0.22258741286692144,34.96398644786263
1280.2781,45,1.0,call,0.21705314439459,37.362260637747426
1293.0809,45,1.01,call,0.21133166100828893,30.63201716417331
1305.8837,45,1.02,call,0.20540103174172622,24.567933788479632
1318.6864,45,1.03,call,0.19923821970455274,19.197280534713087
1331.4892,45,1.04,call,0.1928224812692975,14.539469817861193
1344.292,45,1.05,call,0.18614338020390228,10.604144443347149
1357.0948,45,1.06,call,0.1792172673603335,7.388678802405699
1369.8976,45,1.07,call,0.1721155576282001,4.873925074786712
1382.7003,45,1.08,call,0.16499310335253373,3.016746839620268
1395.5031,45,1.09,call,0.1580948062933249,1.7409338233192404
1408.3059,45,1.1,call,0.15170135158880363,0.9354325130031613
1421.1087,45,1.11,call,0.1460394974512692,0.4699511485373018
1433.9115,45,1.12,call,0.14121549441131367,0.22251857190967902
1446.7143,45,1.13,call,0.13722157151748718,0.10021822986359515
1459.517,45,1.14,call,0.13397972718962506,0.0433074778999885
1472.3198,45,1.15,call,0.13138405656887273,0.0180908638445648
1485.1226,45,1.16,call,0.12932753658687,0.007350601005781531
1497.9254,45,1.17,call,0.1277156306335397,0.0029197773541908036
1510.7282,45,1.18,call,0.12646771309000798,0.0011385001445756878
1523.5309,45,1.19,call,0.12551737375394095,0.000437263336158642
1536.3337,45,1.2,call,0.12481169096826417,0.00016587950262737528
960.2086,50,0.75,put,0.32838954966626804,0.43057024306383157
973.0114,50,0.76,put,0.32446390938309855,0.5445607791641324
985.8141,50,0.77,put,0.32052099576105914,0.685500828720611
998.6169,50,0.78,put,0.3165591880941877,0.8589445779275539
1011.4197,50,0.79,put,0.3125754141918103,1.0714007140027646
1024.2225,50,0.8,put,0.3085674889823466,1.3304555004654615
1037.0253,50,0.81,put,0.30453275870831714,1.644903297466117
1049.828,50,0.82,put,0.30046818733848235,2.0248831040921256
1062.6308,50,0.83,put,0.29637070639448054,2.4820191643866245
1075.4336,50,0.84,put,0.292237401457896,3.029563065435173
1088.2364,50,0.85,put,0.2880647013141704,3.682534063862693
1101.0392,50,0.86,put,0.28384870744551866,4.457853608468463
1113.8419,50,0.87,put,0.27958536090986064,5.374469186842064
1126.6447,50,0.88,put,0.2752708525017856,6.453461721658813
1139.4475,50,0.89,put,0.27089919735174456,7.718129791747197
1152.2503,50,0.9,put,0.2664659319290189,9.194042973079295
1165.0531,50,0.91,put,0.26196501658627536,10.909055611229203
1177.8559,50,0.92,put,0.2573897638939281,12.893271382782771
1190.6586,50,0.93,put,0.25273341991700765,15.178948121108526
1203.4614,50,0.94,put,0.24798723163937825,17.80033162578966
1216.2642,50,0.95,put,0.24314250116613828,20.793406614981794
1229.067,50,0.96,put,0.2381891161982202,24.195552711576322
1241.8698,50,0.97,put,0.23311463601886948,28.04509352035731
1254.6725,50,0.98,put,0.2279063658515048,32.38072769565329
1267.4753,50,0.99,put,0.222549241516404,37.24083286746371
1280.2781,50,1.0,call,0.2170254123281732,39.286491185831125
1293.0809,50,1.01,call,0.21131572480178457,32.505101196041345
1305.8837,50,1.02,call,0.20539869654089635,26.352468260368724
1318.6864,50,1.03,call,0.19925252406966604,20.85618346256164
1331.4892,50,1.04,call,0.1928579686678072,16.038251609483588
1344.292,50,1.05,call,0.1862076177355005,11.913662165858936
1357.0948,50,1.06,call,0.17932164095606626,8.48823681829879
1369.8976,50,1.07,call,0.17227346083331302,5.754417646517666
1382.7003,50,1.08,call,0.165215446421052,3.6833024164206267
1395.5031,50,1.09,call,0.158382404692937,2.2139959336688237
1408.3059,50,1.1,call,0.152043043707263,1.2485049329854898
1421.1087,50,1.11,call,0.14641662439514966,0.6631129270274722
1433.9115,50,1.12,call,0.1416095766456496,0.3341451170345092
1446.7143,50,1.13,call,0.1376192203984933,0.1610873592747877
1459.517,50,1.14,call,0.13437162062470973,0.07488057759759552
1472.3198,50,1.15,call,0.13176460632052062,0.033788306070636695
1485.1226,50,1.16,call,0.1296943615949519,0.014881445592968306
1497.9254,50,1.17,call,0.12806685635863488,0.00642613756077223
1510.7282,50,1.18,call,0.12680285936054958,0.002730630684698359
1523.5309,50,1.19,call,0.12583681867169577,0.0011451903773229844
1536.3337,50,1.2,call,0.1251155908708528,0.00047518200962336736
960.2086,55,0.75,put,0.3282246538593478,0.6223462779958883
973.0114,55,0.76,put,0.3243019029916028,0.7730268088194161
985.8141,55,0.77,put,0.32036250769704266,0.9561266334249571
998.6169,55,0.78,put,0.316403811385223,1.1776835741202765
1011.4197,55,0.79,put,0.312423454599452,1.4446617693943868
1024.2225,55,0.8,put,0.3084191735508358,1.7650550707292572
1037.0253,55,0.81,put,0.3043879574720471,2.1479947105088892
1049.828,55,0.82,put,0.3003270509638788,2.603859886587802
1062.6308,55,0.83,put,0.296233620291421,3.1443895236917223
1075.4336,55,0.84,put,0.2921043719627396,3.782793040884021
1088.2364,55,0.85,put,0.287935815948723,4.533857478551652
1101.0392,55,0.86,put,0.2837242377429192,5.414047820051663
1113.8419,55,0.87,put,0.2794655942633103,6.441596786261009
1126.6447,55,0.88,put,0.2751554724522045,7.636579791803579
1139.4475,55,0.89,put,0.2707892124594598,9.020970138214818
1152.2503,55,0.9,put,0.26636078035547295,10.618668893247802
1165.0531,55,0.91,put,0.26186560295176414,12.455503282046136
1177.8559,55,0.92,put,0.25729629162740697,14.559186814785651
1190.6586,55,0.93,put,0.252645918871816,16.95923382286542
1203.4614,55,0.94,put,0.24790639067825496,19.68682060751862
1216.2642,55,0.95,put,0.24306867988014924,22.774585073099885
1229.067,55,0.96,put,0.2381224686761486,26.256356605825548
1241.8698,55,0.97,put,0.233056403329944,30.166808215046732
1254.6725,55,0.98,put,0.22785697517454861,34.5410238594375
1267.4753,55,0.99,put,0.22250916885547595,39.41397597829787
1280.2781,55,1.0,call,0.2169963835996169,41.10672103601771
1293.0809,55,1.01,call,0.21129898241967598,34.278731867671645
1305.8837,55,1.02,call,0.20539649126852935,28.047198848634654
1318.6864,55,1.03,call,0.1992680630393405,22.439784916247188
1331.4892,55,1.04,call,0.19289724699534527,17.480332289486192
1344.292,55,1.05,call,0.18627943599069113,13.18782656766649
1357.0948,55,1.06,call,0.1794379218578057,9.57455447835711
1369.8976,55,1.07,call,0.17244731407932812,6.642040531742188
1382.7003,55,1.08,call,0.1654562218566299,4.372958384090864
1395.5031,55,1.09,call,0.1586890526472152,2.719649506525404
1408.3059,55,1.1,call,0.15240276330785646,1.5966018214540136
1421.1087,55,1.11,call,0.14680936655696067,0.8880173878622677
1433.9115,55,1.12,call,0.1420171497268575,0.4710868411513247
1446.7143,55,1.13,call,0.13802733201820913,0.2401966302906592
1459.517,55,1.14,call,0.13477181321323028,0.11855822552928252
1472.3198,55,1.15,call,0.13215191173597005,0.05699518840729442
1485.1226,55,1.16,call,0.13006592690306965,0.0268191412967217
1497.9254,55,1.17,call,0.1284219481647759,0.012402121142167623
1510.7282,55,1.18,call,0.12714106745534837,0.005654624817474672
1523.5309,55,1.19,call,0.12615837602557967,0.002548704224996467
1536.3337,55,1.2,call,0.12542090571098935,0.0011381204194605321
960.2086,60,0.75,put,0.3280586393497154,0.8527531059899665
973.0114,60,0.76,put,0.32413950668034497,1.0433086541870455
985.8141,60,0.77,put,0.32020311351884356,1.2715253700608904
