strike,maturity_days,moneyness,w,price
1216.2642,50,0.95,put,20.793406614981794
1248.2711,50,0.975,put,30.149733754519087
1280.2781,50,1.0,call,39.286491185831125
1312.2851,50,1.025,call,23.52076092522034
1344.292,50,1.05,call,11.913662165858936
1376.299,50,1.075,call,4.638960088231554
1408.3059,50,1.1,call,1.2485049329854898
1440.3129,50,1.125,call,0.23317293491385377
1472.3198,50,1.15,call,0.033788306070636695
1504.3268,50,1.175,call,0.004196562069774162
1536.3337,50,1.2,call,0.00047518200962336736
1568.3407,50,1.225,call,5.0933859712644155e-05
960.2086,60,0.75,put,0.8527531059899665
992.2155,60,0.775,put,1.401723026324284
1024.2225,60,0.8,put,2.2506540857617647
1056.2294,60,0.825,put,3.5334814856058556
1088.2364,60,0.85,put,5.429034428007574
1120.2433,60,0.875,put,8.169363395391517
1152.2503,60,0.9,put,12.04659119837697
1184.2572,60,0.925,put,17.416485302947855
1216.2642,60,0.95,put,24.696357426474645
1248.2711,60,0.975,put,34.35435274639906
1280.2781,60,1.0,call,42.836842875817
1312.2851,60,1.025,call,26.734110923923776
1344.292,60,1.05,call,14.428484035017853
1376.299,60,1.075,call,6.225191210218828
1408.3059,60,1.1,call,1.9756352183949606
1440.3129,60,1.125,call,0.46452990816497425
1472.3198,60,1.15,call,0.08898075818142435
1504.3268,60,1.175,call,0.015088109909899412
1536.3337,60,1.2,call,0.0023810419290018316
1568.3407,60,1.225,call,0.0003603372791890921
960.2086,70,0.75,put,1.4242105135737104
992.2155,70,0.775,put,2.2071968154476447
1024.2225,70,0.8,put,3.353347357795386
1056.2294,70,0.825,put,4.999017166477168
1088.2364,70,0.85,put,7.318239517634244
1120.2433,70,0.875,put,10.527974427201347
1152.2503,70,0.9,put,14.892079037658245
1184.2572,70,0.925,put,20.72297303832035
1216.2642,70,0.95,put,28.379729217787705
1248.2711,70,0.975,put,38.261175149588986
1280.2781,70,1.0,call,46.06920233105407
1312.2851,70,1.025,call,29.688228659564583
1344.292,70,1.05,call,16.817749874176176
1376.299,70,1.075,call,7.840802485403978
1408.3059,70,1.1,call,2.8125270449789843
1440.3129,70,1.125,call,0.7822780142795508
1472.3198,70,1.15,call,0.18323206115682864
1504.3268,70,1.175,call,0.03884570675101512
1536.3337,70,1.2,call,0.007775430408059572
1568.3407,70,1.225,call,0.0015062378543055795
960.2086,80,0.75,put,2.130381754098093
992.2155,80,0.775,put,3.1572589211722963
1024.2225,80,0.8,put,4.599221939334871
1056.2294,80,0.825,put,6.590887148883656
1088.2364,80,0.85,put,9.298434919346168
1120.2433,80,0.875,put,12.923029503696352
1152.2503,80,0.9,put,17.703262456935505
1184.2572,80,0.925,put,23.91604750154375
1216.2642,80,0.95,put,31.87533192125517
1248.2711,80,0.975,put,41.92809460297815
1280.2781,80,1.0,call,49.05098466112852
1312.2851,80,1.025,call,32.43585443519664
1344.292,80,1.05,call,19.098333670185667
1376.299,80,1.075,call,9.466951025840812
1408.3059,80,1.1,call,3.7355925865313804
1440.3129,80,1.125,call,1.1817163476295691
1472.3198,80,1.15,call,0.32230632292050937
1504.3268,80,1.175,call,0.08084439207595825
1536.3337,80,1.2,call,0.019348293954428577
1568.3407,80,1.225,call,0.004511756508162374
960.2086,90,0.75,put,2.953861481313031
992.2155,90,0.775,put,4.226346168313163
1024.2225,90,0.8,put,5.955820318666003
1056.2294,90,0.825,put,8.272855724740838
1088.2364,90,0.85,put,11.334582926110553
1120.2433,90,0.875,put,15.327014680741934
1152.2503,90,0.9,put,20.46667776719012
1184.2572,90,0.925,put,27.0012608911466
1216.2642,90,0.95,put,35.2090350417517
1248.2711,90,0.975,put,45.397090268567304
1280.2781,90,1.0,call,51.829901052036924
1312.2851,90,1.025,call,35.015523872212114
1344.292,90,1.05,call,21.285582956026094
1376.299,90,1.075,call,11.093515882638856
1408.3059,90,1.1,call,4.727166137508898
1440.3129,90,1.125,call,1.6564149438846274
1472.3198,90,1.15,call,0.5091329268426312
