strike,price
2440.5416,59.0073178457594
2473.0821,63.38852358252818
2505.6227,68.03504912655025
2538.1632,72.95922486562309
2570.7038,78.17373770843396
2603.2443,83.6916261509838
2635.7849,89.52627348122994
2668.3254,95.69139891269909
2700.866,102.2010464196501
2733.4065,109.06957102712472
2765.9471,116.31162228900202
2798.4876,123.94212466602619
2831.0282,131.97625449389187
2863.5688,140.42941320903537
2896.1093,149.31719647710247
2928.6499,158.6553588465021
2961.1904,168.45977352759752
2993.731,178.74638687747
3026.2715,189.5311671518277
3058.8121,200.83004707041158
3091.3526,212.6588597316754
3123.8932,225.03326740808131
3156.4337,237.96868275723145
3188.9743,251.48018199857816
3221.5148,265.58240963369104
3254.0554,280.2894743335364
3286.596,295.61483568312974
3319.1365,311.571181567232
3351.6771,328.1702961061787
3384.2176,345.4229182149211
3416.7582,363.33859106828714
3449.2987,381.9255030192125
3481.8393,401.1903208427328
3514.3798,421.13801657538943
3546.9204,441.7716896954698
3579.4609,463.0923869508993
3612.0015,485.0989227928391
3644.542,507.7877041140178
3677.0826,531.1525638148893
3709.6232,555.1846086118871
3742.1637,579.8720874312139
3774.7043,605.2002876529017
3807.2448,631.1514673156485
3839.7854,657.7048320704731
3872.3259,684.8365660590886
3904.8665,712.519925841287
