strike,price
2440.5416,810.110307720042
2473.0821,780.4544556861995
2505.6227,750.9973485123681
2538.1632,721.7524486523076
2570.7038,692.7340542135612
2603.2443,663.9573470941324
2635.7849,635.438443268989
2668.3254,607.1944451432895
2700.866,579.243495828925
2733.4065,551.6048351231792
2765.9471,524.2988568684749
2798.4876,497.34716724476505
2831.0282,470.77264338389557
2863.5688,444.5994914894781
2896.1093,418.8533033853476
2928.6499,393.561110086627
2961.1904,368.7514305728018
2993.731,344.4543134204819
3026.2715,320.7013682987989
3058.8121,297.5257835104371
3091.3526,274.9623247378256
3123.8932,253.04730888126215
3156.4337,231.81854530101927
3188.9743,211.31523484037973
3221.5148,191.57781465045878
3254.0554,172.64773400569345
3286.596,154.56714295666814
3319.1365,137.37847182723496
3351.6771,121.123875331164
3384.2176,105.8445107329905
3416.7582,91.57961556849276
3449.2987,78.36534800088805
3481.8393,66.23335367697649
3514.3798,55.20902979227388
3546.9204,45.309474257052514
3579.4609,36.541141371015506
3612.0015,28.897282724986738
3644.542,22.35534054214637
3677.0826,16.87458353699995
3709.6232,12.394423362108904
3742.1637,8.833988529321667
3774.7043,6.093590505028592
3807.2448,4.058586343830091
3839.7854,2.605722912473797
3872.3259,1.611341057025324
3904.8665,0.9600363040506849
