strike,price
2440.5416,17.889905592856966
2473.0821,19.60366017740021
2505.6227,21.466889035934262
2538.1632,23.491931142694632
2570.7038,25.692155774825896
2603.2443,28.082056298646698
2635.7849,30.677353615632754
2668.3254,33.49511035794733
2700.866,36.553857040775114
2733.4065,39.87373150149533
2765.9471,43.47663307970795
2798.4876,47.3863931103688
2831.0282,51.628963403448935
2863.5688,56.232624449710976
2896.1093,61.22821509563244
2928.6499,66.64938532835114
2961.1904,72.53287353847921
2993.731,78.91880908520865
3026.2715,85.85104002338288
3058.8121,93.3774842371533
3091.3526,101.55049961243154
3123.8932,110.42726474504605
3156.4337,120.07015522825857
3188.9743,130.5470905938617
3221.5148,141.93181170112646
3254.0554,154.30402512484997
3286.596,167.74931605580807
3319.1365,182.35867909186047
3351.6771,198.22744032656456
3384.2176,215.45323733311767
3416.7582,234.13258304754055
3449.2987,254.35537816487698
3481.8393,276.196611242237
3514.3798,299.70455194276246
3546.9204,324.8853363839274
3579.4609,351.68551034762623
3612.0015,379.97728449834176
3644.542,409.555156931636
3677.0826,440.1533582157864
3709.6232,471.4856223774304
3742.1637,503.2932123046983
3774.7043,535.3784989251654
3807.2448,567.6119099150034
3839.7854,599.9187430993081
3872.3259,632.2600419335504
3904.8665,664.6169232257974
