strike,price
2440.5416,809.9948713635885
2473.0821,778.814378798746
2505.6227,747.7523493535687
2538.1632,716.8197350353404
2570.7038,686.028551284697
2603.2443,655.3919948605255
2635.7849,624.9245771505797
2668.3254,594.6422752863364
2700.866,564.5627038664486
2733.4065,534.7053106027845
2765.9471,505.0915998128025
2798.4876,475.74538841023974
2831.0282,446.69309991289805
2863.5688,417.96410301198705
2896.1093,389.59110244930287
2928.6499,361.6105913345864
2961.1904,334.06337559228655
2993.731,306.99518289695965
3026.2715,280.4573700953702
3058.8121,254.5077444118261
3091.3526,229.21151407328043
3123.8932,204.642382178823
3156.4337,180.88379141222794
3188.9743,158.03031230930122
3221.5148,136.18913631283945
3254.0554,115.48157203561827
3286.596,96.04432183943244
3319.1365,78.03008692132555
3351.6771,61.60662767505549
3384.2176,46.9526601598977
3416.7582,34.24774934923989
3449.2987,23.65170950348426
3481.8393,15.267959198747745
3514.3798,9.088661161235427
3546.9204,4.935265863635056
3579.4609,2.4380313770922024
3612.0015,1.106231420172119
3644.542,0.47035102426051345
3677.0826,0.19179170296034956
3709.6232,0.07649377411699637
3742.1637,0.030257308217738105
3774.7043,0.011973408502096862
3807.2448,0.004764239862869356
3839.7854,0.0019115078390618586
3872.3259,0.0007744514530969011
3904.8665,0.0003170540654966676
