Start Date,22/06/1997,10000
End Date,07/11/2024,0
,,
,USGG12M Index,
,Last Trade/Last Price,
Dates,LAST_PRICE,
23/06/1998,5.408,
24/06/1998,5.397,
25/06/1998,5.407,
26/06/1998,5.394,
29/06/1998,5.383,
30/06/1998,5.371,
01/07/1998,5.349,
02/07/1998,5.325,
03/07/1998,5.324,
06/07/1998,5.323,
07/07/1998,5.334,
08/07/1998,5.323,
09/07/1998,5.322,
10/07/1998,5.31,
13/07/1998,5.331,
14/07/1998,5.33,
15/07/1998,5.319,
16/07/1998,5.34,
17/07/1998,5.364,
20/07/1998,5.364,
21/07/1998,5.353,
22/07/1998,5.353,
23/07/1998,5.341,
24/07/1998,5.34,
27/07/1998,5.35,
28/07/1998,5.338,
29/07/1998,5.36,
30/07/1998,5.359,
31/07/1998,5.368,
03/08/1998,5.346,
04/08/1998,5.312,
05/08/1998,5.29,
06/08/1998,5.279,
07/08/1998,5.233,
10/08/1998,5.211,
11/08/1998,5.178,
12/08/1998,5.199,
13/08/1998,5.231,
14/08/1998,5.208,
17/08/1998,5.229,
18/08/1998,5.25,
19/08/1998,5.232,
20/08/1998,5.221,
21/08/1998,5.186,
24/08/1998,5.175,
25/08/1998,5.152,
26/08/1998,5.097,
27/08/1998,5.009,
28/08/1998,4.953,
31/08/1998,4.855,
01/09/1998,4.855,
02/09/1998,4.908,
03/09/1998,4.897,
04/09/1998,4.895,
07/09/1998,4.906,
08/09/1998,4.905,
09/09/1998,4.786,
10/09/1998,4.634,
11/09/1998,4.719,
14/09/1998,4.762,
15/09/1998,4.794,
16/09/1998,4.763,
17/09/1998,4.762,
18/09/1998,4.685,
21/09/1998,4.695,
22/09/1998,4.717,
23/09/1998,4.597,
24/09/1998,4.51,
25/09/1998,4.487,
28/09/1998,4.519,
29/09/1998,4.518,
30/09/1998,4.399,
01/10/1998,4.28,
02/10/1998,4.29,
05/10/1998,4.171,
06/10/1998,4.225,
07/10/1998,4.235,
08/10/1998,4.138,
09/10/1998,4.147,
12/10/1998,4.147,
13/10/1998,4.222,
14/10/1998,4.167,
15/10/1998,3.962,
16/10/1998,3.854,
19/10/1998,3.907,
20/10/1998,3.982,
21/10/1998,4.035,
22/10/1998,4.035,
23/10/1998,4.077,
26/10/1998,4.12,
27/10/1998,4.023,
28/10/1998,4.065,
29/10/1998,4.076,
30/10/1998,4.182,
02/11/1998,4.333,
03/11/1998,4.332,
04/11/1998,4.461,
05/11/1998,4.504,
06/11/1998,4.665,
09/11/1998,4.632,
10/11/1998,4.535,
11/11/1998,4.535,
12/11/1998,4.49,
13/11/1998,4.512,
16/11/1998,4.555,
17/11/1998,4.479,
18/11/1998,4.521,
19/11/1998,4.553,
20/11/1998,4.541,
23/11/1998,4.563,
24/11/1998,4.595,
25/11/1998,4.594,
26/11/1998,4.593,
27/11/1998,4.581,
30/11/1998,4.495,
01/12/1998,4.451,
02/12/1998,4.418,
03/12/1998,4.375,
04/12/1998,4.482,
07/12/1998,4.557,
08/12/1998,4.481,
09/12/1998,4.437,
10/12/1998,4.448,
11/12/1998,4.49,
14/12/1998,4.457,
15/12/1998,4.489,
16/12/1998,4.38,
17/12/1998,4.445,
18/12/1998,4.476,
21/12/1998,4.53,
22/12/1998,4.551,
23/12/1998,4.67,
24/12/1998,4.711,
25/12/1998,4.711,
28/12/1998,4.624,
29/12/1998,4.613,
30/12/1998,4.537,
31/12/1998,4.524,
01/01/1999,4.535,
04/01/1999,4.578,
05/01/1999,4.621,
06/01/1999,4.502,
07/01/1999,4.502,
08/01/1999,4.576,
11/01/1999,4.609,
12/01/1999,4.543,
13/01/1999,4.456,
14/01/1999,4.402,
15/01/1999,4.465,
18/01/1999,4.464,
19/01/1999,4.486,
20/01/1999,4.518,
21/01/1999,4.453,
22/01/1999,4.441,
25/01/1999,4.484,
26/01/1999,4.483,
27/01/1999,4.494,
28/01/1999,4.504,
29/01/1999,4.492,
01/02/1999,4.567,
02/02/1999,4.567,
03/02/1999,4.589,
04/02/1999,4.621,
05/02/1999,4.652,
08/02/1999,4.641,
09/02/1999,4.619,
10/02/1999,4.64,
11/02/1999,4.661,
12/02/1999,4.725,
15/02/1999,4.724,
16/02/1999,4.691,
17/02/1999,4.67,
18/02/1999,4.702,
19/02/1999,4.7,
22/02/1999,4.711,
23/02/1999,4.775,
24/02/1999,4.829,
25/02/1999,4.872,
26/02/1999,4.849,
01/03/1999,4.881,
02/03/1999,4.794,
03/03/1999,4.885,
04/03/1999,4.896,
05/03/1999,4.818,
08/03/1999,4.806,
09/03/1999,4.74,
10/03/1999,4.74,
11/03/1999,4.761,
12/03/1999,4.727,
15/03/1999,4.749,
16/03/1999,4.726,
17/03/1999,4.726,
18/03/1999,4.693,
19/03/1999,4.724,
22/03/1999,4.745,
23/03/1999,4.691,
24/03/1999,4.701,
25/03/1999,4.744,
26/03/1999,4.699,
29/03/1999,4.721,
30/03/1999,4.688,
31/03/1999,4.71,
01/04/1999,4.709,
02/04/1999,4.665,
05/04/1999,4.664,
06/04/1999,4.653,
07/04/1999,4.664,
08/04/1999,4.62,
09/04/1999,4.619,
12/04/1999,4.64,
13/04/1999,4.629,
14/04/1999,4.628,
15/04/1999,4.639,
16/04/1999,4.692,
19/04/1999,4.648,
20/04/1999,4.647,
21/04/1999,4.669,
22/04/1999,4.701,
23/04/1999,4.689,
26/04/1999,4.677,
27/04/1999,4.688,
28/04/1999,4.732,
29/04/1999,4.688,
30/04/1999,4.763,
03/05/1999,4.774,
04/05/1999,4.784,
05/05/1999,4.751,
06/05/1999,4.794,
07/05/1999,4.771,
10/05/1999,4.759,
11/05/1999,4.77,
12/05/1999,4.769,
13/05/1999,4.725,
14/05/1999,4.855,
17/05/1999,4.843,
18/05/1999,4.908,
19/05/1999,4.875,
20/05/1999,4.853,
21/05/1999,4.819,
24/05/1999,4.818,
25/05/1999,4.84,
26/05/1999,4.918,
27/05/1999,4.972,
28/05/1999,4.97,
31/05/1999,4.97,
01/06/1999,5.067,
02/06/1999,5.046,
03/06/1999,5.045,
04/06/1999,5.054,
07/06/1999,5.065,
08/06/1999,5.075,
09/06/1999,5.118,
10/06/1999,5.107,
11/06/1999,5.138,
14/06/1999,5.094,
15/06/1999,5.083,
16/06/1999,4.973,
17/06/1999,4.929,
18/06/1999,4.971,
21/06/1999,5.003,
22/06/1999,5.035,
23/06/1999,5.17,
24/06/1999,5.169,
25/06/1999,5.157,
28/06/1999,5.134,
29/06/1999,5.166,
30/06/1999,5.056,
01/07/1999,5.067,
02/07/1999,5.065,
05/07/1999,5.064,
06/07/1999,5.042,
07/07/1999,5.031,
08/07/1999,4.998,
09/07/1999,4.996,
12/07/1999,4.974,
13/07/1999,4.963,
14/07/1999,4.973,
15/07/1999,4.972,
16/07/1999,4.927,
19/07/1999,4.949,
20/07/1999,4.894,
21/07/1999,4.929,
22/07/1999,4.983,
23/07/1999,5.014,
26/07/1999,5.025,
27/07/1999,5.013,
28/07/1999,5.024,
29/07/1999,5.089,
30/07/1999,5.109,
02/08/1999,5.141,
03/08/1999,5.152,
04/08/1999,5.086,
05/08/1999,5.031,
06/08/1999,5.138,
09/08/1999,5.214,
10/08/1999,5.214,
11/08/1999,5.169,
12/08/1999,5.202,
13/08/1999,5.167,
16/08/1999,5.21,
17/08/1999,5.177,
18/08/1999,5.17,
19/08/1999,5.158,
20/08/1999,5.146,
23/08/1999,5.189,
24/08/1999,5.156,
25/08/1999,5.133,
26/08/1999,5.187,
27/08/1999,5.24,
30/08/1999,5.295,
31/08/1999,5.283,
01/09/1999,5.283,
02/09/1999,5.271,
03/09/1999,5.203,
06/09/1999,5.203,
07/09/1999,5.246,
08/09/1999,5.246,
09/09/1999,5.278,
10/09/1999,5.233,
13/09/1999,5.243,
14/09/1999,5.264,
15/09/1999,5.236,
16/09/1999,5.224,
17/09/1999,5.233,
20/09/1999,5.266,
21/09/1999,5.243,
22/09/1999,5.221,
23/09/1999,5.154,
24/09/1999,5.153,
27/09/1999,5.174,
28/09/1999,5.196,
29/09/1999,5.217,
30/09/1999,5.173,
01/10/1999,5.258,
04/10/1999,5.236,
05/10/1999,5.312,
06/10/1999,5.322,
07/10/1999,5.322,
08/10/1999,5.32,
11/10/1999,5.319,
12/10/1999,5.33,
13/10/1999,5.373,
14/10/1999,5.444,
15/10/1999,5.387,
18/10/1999,5.431,
19/10/1999,5.463,
20/10/1999,5.462,
21/10/1999,5.473,
22/10/1999,5.471,
25/10/1999,5.514,
26/10/1999,5.536,
27/10/1999,5.513,
28/10/1999,5.469,
29/10/1999,5.412,
01/11/1999,5.444,
02/11/1999,5.433,
03/11/1999,5.432,
04/11/1999,5.41,
05/11/1999,5.408,
08/11/1999,5.44,
09/11/1999,5.472,
10/11/1999,5.499,
11/11/1999,5.497,
12/11/1999,5.475,
15/11/1999,5.497,
16/11/1999,5.54,
17/11/1999,5.561,
18/11/1999,5.561,
19/11/1999,5.581,
22/11/1999,5.613,
23/11/1999,5.613,
24/11/1999,5.633,
25/11/1999,5.632,
26/11/1999,5.664,
29/11/1999,5.697,
30/11/1999,5.685,
01/12/1999,5.696,
02/12/1999,5.739,
03/12/1999,5.682,
06/12/1999,5.692,
07/12/1999,5.67,
08/12/1999,5.676,
09/12/1999,5.665,
10/12/1999,5.663,
13/12/1999,5.739,
14/12/1999,5.827,
15/12/1999,5.837,
16/12/1999,5.892,
17/12/1999,5.912,
20/12/1999,5.967,
21/12/1999,5.955,
22/12/1999,5.943,
