s_ref,strike,maturity_days,moneyness,w,implied_vol,price,date
1280.2781,1177.8559,60,0.92,call,0.2571959414981669,114.54866185892979,2012-01-03
1280.2781,1177.8559,60,0.92,put,0.25719594149816677,16.20310928260241,2012-01-03
1280.2781,1190.6586,60,0.93,call,0.25255054376614533,104.25035487153536,2012-01-03
1280.2781,1190.6586,60,0.93,put,0.2525505437661462,18.70426271958528,2012-01-03
1280.2781,1203.4614,60,0.94,call,0.2478159540682575,94.27147219506298,2012-01-03
1280.2781,1203.4614,60,0.94,put,0.24781595406825707,21.524840467490222,2012-01-03
1280.2781,1216.2642,60,0.95,call,0.2429839477755627,84.64183965660611,2012-01-03
1280.2781,1216.2642,60,0.95,put,0.24298394777556329,24.69466835341087,2012-01-03
1280.2781,1229.067,60,0.96,call,0.23804370972561723,75.39233035428902,2012-01-03
1280.2781,1229.067,60,0.96,put,0.2380437097256177,28.24461947547109,2012-01-03
1280.2781,1241.8698,60,0.97,call,0.23298401022849652,66.55459694368355,2012-01-03
1280.2781,1241.8698,60,0.97,put,0.232984010228496,32.20634648924316,2012-01-03
1280.2781,1254.6725,60,0.98,call,0.22779164773168212,58.16074379551694,2012-01-03
1280.2781,1254.6725,60,0.98,put,0.2277916477316816,36.61195376545409,2012-01-03
1280.2781,1267.4753,60,0.99,call,0.2224517715261542,50.242937854366964,2012-01-03
1280.2781,1267.4753,60,0.99,put,0.22245177152615442,41.49360824868142,2012-01-03
1280.2781,1280.2781,60,1.0,call,0.21694781416894143,42.832960781314014,2012-01-03
1280.2781,1280.2781,60,1.0,put,0.21694781416894154,46.883091600006004,2012-01-03
1280.2781,1293.0809,60,1.01,call,0.21126093605043822,35.96172209343285,2012-01-03
1280.2781,1293.0809,60,1.01,put,0.21126093605043716,52.81131333650237,2012-01-03
1280.2781,1305.8837,60,1.02,call,0.205371398924408,29.658737881783257,2012-01-03
1280.2781,1305.8837,60,1.02,put,0.20537139892440828,59.30778954923009,2012-01-03
1280.2781,1318.6864,60,1.03,call,0.19925984524910942,23.95162624629102,2012-01-03
1280.2781,1318.6864,60,1.03,put,0.1992598452491095,66.40013833811538,2012-01-03
1280.2781,1331.4892,60,1.04,call,0.19291185340104375,18.865586224049075,2012-01-03
1280.2781,1331.4892,60,1.04,put,0.19291185340104414,74.11355874025098,2012-01-03
1280.2781,1344.292,60,1.05,call,0.18632578587400012,14.422675686695971,2012-01-03
1280.2781,1344.292,60,1.05,put,0.1863257858739999,82.47010862727518,2012-01-03
1280.2781,1357.0948,60,1.06,call,0.179527755880558,10.640231963609423,2012-01-03
1280.2781,1357.0948,60,1.06,put,0.17952775588055686,91.48712532856617,2012-01-03
1280.2781,1369.8976,60,1.07,call,0.17259348173293787,7.5269974594089,2012-01-03
1280.2781,1369.8976,60,1.07,put,0.1725934817329381,101.17335124874295,2012-01-03
1280.2781,1382.7003,60,1.08,call,0.16566689525129155,5.075111405693124,2012-01-03
1280.2781,1382.7003,60,1.08,put,0.16566689525129097,111.52092561940471,2012-01-03
1280.2781,1395.5031,60,1.09,call,0.15896283452019572,3.2482531416408538,2012-01-03
1280.2781,1395.5031,60,1.09,put,0.15896283452019372,122.49352777972997,2012-01-03
1280.2781,1408.3059,60,1.1,call,0.15272684995066818,1.9724119580399713,2012-01-03
1280.2781,1408.3059,60,1.1,put,0.15272684995066993,134.0171470205064,2012-01-03
1280.2781,1421.1087,60,1.11,call,0.14716482620533353,1.1401989041303053,2012-01-03
1280.2781,1421.1087,60,1.11,put,0.14716482620533428,145.98439439097427,2012-01-03
1280.2781,1433.9115,60,1.12,call,0.14238587512635803,0.6313939703061185,2012-01-03
1280.2781,1433.9115,60,1.12,put,0.1423858751263524,158.27504988152762,2012-01-03
1280.2781,1446.7143,60,1.13,call,0.13839659611839805,0.3373242154279385,2012-01-03
1280.2781,1446.7143,60,1.13,put,0.13839659611839866,170.78044055102652,2012-01-03
1280.2781,1459.517,60,1.14,call,0.13513321840019626,0.1750256409858898,2012-01-03
1280.2781,1459.517,60,1.14,put,0.13513321840019038,183.417602400962,2012-01-03
1280.2781,1472.3198,60,1.15,call,0.13250091185808607,0.08869384528548288,2012-01-03
