date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2012-10-02,pegged,calibration rejected (boundary-pegged),0.01260965936320942,11.0,108.0,341.0
2012-10-03,pegged,calibration rejected (boundary-pegged),0.011827737974009562,9.0,96.0,306.0
2012-10-04,pegged,calibration rejected (boundary-pegged),0.011787920955495228,14.0,101.0,393.0
2012-10-05,pegged,calibration rejected (boundary-pegged),0.013511837471792205,12.0,112.0,436.0
2012-10-08,pegged,calibration rejected (boundary-pegged),0.010574914814398905,10.0,96.0,247.0
2012-10-09,pegged,calibration rejected (boundary-pegged),0.009177684851991316,11.0,114.0,372.0
2012-10-10,pegged,calibration rejected (boundary-pegged),0.010299615128867734,12.0,107.0,393.0
2012-10-11,pegged,calibration rejected (boundary-pegged),0.01098988197793043,11.0,105.0,355.0
2012-10-15,pegged,calibration rejected (boundary-pegged),0.010318740934456293,10.0,108.0,368.0
2012-10-17,pegged,calibration rejected (boundary-pegged),0.011821971451362896,10.0,113.0,357.0
2012-10-18,pegged,calibration rejected (boundary-pegged),0.010557928362583692,12.0,109.0,371.0
2012-10-19,pegged,calibration rejected (boundary-pegged),0.010633483048902723,10.0,109.0,440.0
2012-10-22,pegged,calibration rejected (boundary-pegged),0.009389272361844373,10.0,111.0,393.0
2012-10-23,pegged,calibration rejected (boundary-pegged),0.010326162556842048,12.0,106.0,445.0
2012-10-24,pegged,calibration rejected (boundary-pegged),0.009616575814136448,11.0,102.0,362.0
2012-10-25,pegged,calibration rejected (boundary-pegged),0.010943141953971178,12.0,109.0,396.0
2012-10-31,pegged,calibration rejected (boundary-pegged),0.01123942684638581,12.0,110.0,394.0
2012-11-02,pegged,calibration rejected (boundary-pegged),0.011937191028009367,12.0,117.0,463.0
2012-11-15,pegged,calibration rejected (boundary-pegged),0.012191726838774552,12.0,118.0,534.0
2012-11-20,pegged,calibration rejected (boundary-pegged),0.016673511300445497,10.0,114.0,434.0
2012-11-21,pegged,calibration rejected (boundary-pegged),0.015188179120342118,10.0,101.0,362.0
2012-11-26,pegged,calibration rejected (boundary-pegged),0.012192054717598067,10.0,119.0,395.0
2012-11-27,pegged,calibration rejected (boundary-pegged),0.011648087034701224,9.0,118.0,425.0
2012-11-28,pegged,calibration rejected (boundary-pegged),0.010900689257146707,9.0,121.0,432.0
2012-11-29,pegged,calibration rejected (boundary-pegged),0.011486712552934457,11.0,116.0,418.0
2012-11-30,pegged,calibration rejected (boundary-pegged),0.015572059472164114,11.0,110.0,337.0
2012-12-05,pegged,calibration rejected (boundary-pegged),0.011012797235249444,10.0,120.0,415.0
2012-12-06,pegged,calibration rejected (boundary-pegged),0.014498519577431368,10.0,102.0,375.0
2012-12-07,iv_miss,calibration rejected (iv_rmse=0.0286 > 0.02),0.0286261951305937,11.0,108.0,403.0
2012-12-11,pegged,calibration rejected (boundary-pegged),0.012441863392483968,11.0,104.0,378.0
2012-12-12,pegged,calibration rejected (boundary-pegged),0.01200543613896732,12.0,114.0,411.0
2012-12-13,pegged,calibration rejected (boundary-pegged),0.010316142172055901,11.0,111.0,414.0
2012-12-14,pegged,calibration rejected (boundary-pegged),0.0120979073500386,11.0,91.0,318.0
2012-12-19,pegged,calibration rejected (boundary-pegged),0.01099481899033786,10.0,116.0,379.0
2012-12-20,pegged,calibration rejected (boundary-pegged),0.014583508144220048,11.0,116.0,401.0
2012-12-21,pegged,calibration rejected (boundary-pegged),0.008547192620474318,11.0,112.0,423.0
2012-12-24,pegged,calibration rejected (boundary-pegged),0.007939858957202627,10.0,94.0,257.0
2012-12-26,pegged,calibration rejected (boundary-pegged),0.01059831807666108,12.0,121.0,410.0
2012-12-27,pegged,calibration rejected (boundary-pegged),0.00956775356162968,15.0,142.0,553.0
2012-12-31,pegged,calibration rejected (boundary-pegged),0.013083319587310079,13.0,124.0,508.0
2013-01-02,pegged,calibration rejected (boundary-pegged),0.011089539729955841,12.0,116.0,495.0
2013-01-03,pegged,calibration rejected (boundary-pegged),0.011421956747041863,13.0,106.0,428.0
2013-01-04,pegged,calibration rejected (boundary-pegged),0.012522877115330688,13.0,102.0,448.0
2013-01-08,pegged,calibration rejected (boundary-pegged),0.011286423941301998,13.0,110.0,372.0
2013-01-16,pegged,calibration rejected (boundary-pegged),0.011820367028216237,10.0,115.0,358.0
2013-01-17,pegged,calibration rejected (boundary-pegged),0.010364086770091159,14.0,129.0,484.0
2013-01-18,no_trades,no trades after IV/DTM filter,,,,
2013-01-23,pegged,calibration rejected (boundary-pegged),0.009627040739239656,11.0,102.0,356.0
2013-01-24,pegged,calibration rejected (boundary-pegged),0.00954971939941651,15.0,121.0,528.0
2013-01-28,pegged,calibration rejected (boundary-pegged),0.00823410392287885,13.0,107.0,362.0
2013-01-29,pegged,calibration rejected (boundary-pegged),0.007692492090033844,13.0,117.0,430.0
2013-01-30,pegged,calibration rejected (boundary-pegged),0.007093752000270378,12.0,115.0,407.0
2013-01-31,pegged,calibration rejected (boundary-pegged),0.007851635609864276,13.0,101.0,393.0
2013-02-01,pegged,calibration rejected (boundary-pegged),0.00985969223446619,15.0,108.0,459.0
2013-02-07,pegged,calibration rejected (boundary-pegged),0.008855266964264221,12.0,117.0,440.0
2013-02-08,pegged,calibration rejected (boundary-pegged),0.0066936210092780985,11.0,93.0,362.0
2013-02-11,pegged,calibration rejected (boundary-pegged),0.005609967159225277,10.0,89.0,308.0
2013-02-12,pegged,calibration rejected (boundary-pegged),0.00844562796343397,11.0,95.0,346.0
2013-02-13,no_trades,no trades after IV/DTM filter,,,,
2013-02-14,pegged,calibration rejected (boundary-pegged),0.009262311443681193,12.0,104.0,385.0
2013-02-15,pegged,calibration rejected (boundary-pegged),0.011430460809533813,11.0,121.0,434.0
2013-02-19,pegged,calibration rejected (boundary-pegged),0.009706679117470356,13.0,106.0,437.0
2013-02-20,pegged,calibration rejected (boundary-pegged),0.011015598606001773,12.0,120.0,503.0
2013-02-21,pegged,calibration rejected (boundary-pegged),0.009002501775279722,12.0,118.0,528.0
2013-02-22,pegged,calibration rejected (boundary-pegged),0.007907646763529088,10.0,113.0,419.0
2013-02-25,pegged,calibration rejected (boundary-pegged),0.013177523670341649,12.0,140.0,525.0
2013-02-26,pegged,calibration rejected (boundary-pegged),0.007248218563316044,10.0,122.0,474.0
2013-02-27,pegged,calibration rejected (boundary-pegged),0.008269212617900795,11.0,122.0,472.0
2013-02-28,pegged,calibration rejected (boundary-pegged),0.00960605113656272,12.0,123.0,462.0
2013-03-01,pegged,calibration rejected (boundary-pegged),0.00943490136076734,12.0,105.0,446.0
2013-03-04,pegged,calibration rejected (boundary-pegged),0.008187942519927771,12.0,118.0,412.0
2013-03-05,pegged,calibration rejected (boundary-pegged),0.008107572429541706,13.0,110.0,459.0
2013-03-06,pegged,calibration rejected (boundary-pegged),0.0092166279252303,11.0,105.0,376.0
2013-03-07,pegged,calibration rejected (boundary-pegged),0.011579655309119622,12.0,108.0,375.0
2013-03-08,pegged,calibration rejected (boundary-pegged),0.008802543691786168,12.0,117.0,428.0
2013-03-11,pegged,calibration rejected (boundary-pegged),0.01041957689726787,14.0,119.0,420.0
2013-03-12,pegged,calibration rejected (boundary-pegged),0.008532205399636604,12.0,110.0,450.0
2013-03-13,pegged,calibration rejected (boundary-pegged),0.009567103181484845,11.0,116.0,370.0
2013-03-14,pegged,calibration rejected (boundary-pegged),0.007880131184496944,11.0,112.0,325.0
2013-03-15,pegged,calibration rejected (boundary-pegged),0.009518529348804641,10.0,106.0,364.0
2013-03-18,pegged,calibration rejected (boundary-pegged),0.007726502673941404,12.0,112.0,426.0
2013-03-19,pegged,calibration rejected (boundary-pegged),0.008481318034984978,13.0,125.0,467.0
2013-03-20,pegged,calibration rejected (boundary-pegged),0.009448924069087176,11.0,107.0,361.0
2013-03-21,pegged,calibration rejected (boundary-pegged),0.010440545943607516,13.0,115.0,414.0
2013-03-27,pegged,calibration rejected (boundary-pegged),0.008352984326932263,13.0,125.0,426.0
2013-04-04,pegged,calibration rejected (boundary-pegged),0.008220966577052492,15.0,113.0,394.0
2013-04-05,pegged,calibration rejected (boundary-pegged),0.00954375728374417,14.0,120.0,510.0
2013-04-16,pegged,calibration rejected (boundary-pegged),0.00961352133429416,11.0,132.0,463.0
2013-04-17,pegged,calibration rejected (boundary-pegged),0.01069793897281752,15.0,139.0,517.0
2013-04-18,pegged,calibration rejected (boundary-pegged),0.008983293860229405,14.0,146.0,537.0
2013-04-22,pegged,calibration rejected (boundary-pegged),0.007874516421598933,14.0,159.0,523.0
2013-04-23,pegged,calibration rejected (boundary-pegged),0.008012200405825372,15.0,129.0,477.0
2013-04-24,pegged,calibration rejected (boundary-pegged),0.008552400776532729,14.0,113.0,370.0
2013-04-25,pegged,calibration rejected (boundary-pegged),0.00869098139925755,14.0,122.0,429.0
2013-04-30,pegged,calibration rejected (boundary-pegged),0.01039417825985011,13.0,131.0,454.0
2013-05-09,pegged,calibration rejected (boundary-pegged),0.00793287601924648,15.0,149.0,555.0
2013-05-14,pegged,calibration rejected (boundary-pegged),0.00858793244115318,15.0,145.0,619.0
2013-05-15,pegged,calibration rejected (boundary-pegged),0.009350652497087834,15.0,143.0,615.0
2013-05-16,pegged,calibration rejected (boundary-pegged),0.010170059059517372,15.0,137.0,597.0
2013-05-21,pegged,calibration rejected (boundary-pegged),0.007756074570393225,14.0,125.0,521.0
2013-05-23,pegged,calibration rejected (boundary-pegged),0.008461342279932303,14.0,152.0,664.0
2013-05-28,pegged,calibration rejected (boundary-pegged),0.008873071665948362,12.0,136.0,517.0
2013-06-07,pegged,calibration rejected (boundary-pegged),0.008641125053774212,14.0,139.0,579.0
2013-07-23,pegged,calibration rejected (boundary-pegged),0.008415473853231891,12.0,110.0,397.0
2013-07-24,pegged,calibration rejected (boundary-pegged),0.008689759607314931,14.0,132.0,499.0
2013-07-25,pegged,calibration rejected (boundary-pegged),0.008378620403644918,14.0,120.0,425.0
