date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-01-18,1298.6547,0.001017,0.020491000000000002,0.02939702603304222,0.7849296079665876,-0.8660974672297089,0.3066985698776383,0.026584178198787743,0.22261255691732484,-0.3699067389324714,0.327949903180754,-0.0479148205259898,0.008879562193011755,0.11342409699448244,313,True,9,107,313,678202,1291.14,1308.04,0.013089207986740403,False,2012-01-18 16:14:58.089
2012-01-19,1313.1668,0.001017,0.020395,0.08206492580312111,1.2374277106229787,-0.779193980793244,0.8350253599854118,0.02982638715993855,0.0675118474599741,-0.4830241304552342,0.4999553687634183,-0.4941685253007651,0.006874244405959847,0.10156416387603437,243,True,8,91,243,359925,1308.07,1315.47,0.0056571895999451005,False,2012-01-19 16:19:09.254
2012-01-20,1311.6792,0.001017,0.020383,0.08797736741997796,0.6926280659227697,-0.7952172341130481,0.5224506819311372,0.024975677265146243,0.0966405582345423,-0.42664157523645563,0.4101303621215135,-0.15108352736815783,0.008254549552682395,0.15526673177266173,241,True,7,95,241,434863,1309.2,1315.38,0.004720439963336487,False,2012-01-20 16:16:15.514
2012-01-23,1316.1228,0.001017,0.020457999999999997,0.07237600271764706,0.8366955232973663,-0.8018290044143457,0.5534342459736858,0.02573139852377087,0.07748334201708988,-0.46835919809005466,0.499992214928428,-0.1851761096804356,0.007491815342605283,0.11667563146135795,315,True,9,103,315,335741,1309.97,1322.26,0.009381894241852873,False,2012-01-23 16:17:27.394
2012-01-24,1311.9362,0.001017,0.02048,0.09888994423944375,0.3683463225920058,-0.832356604546136,0.36494500127376345,0.02395251891656031,0.11289438928449358,-0.4318989008460534,0.38656318830132597,-0.060333359350851976,0.008824988393887038,0.19957247926402732,260,True,8,91,260,211520,1306.15,1315.96,0.007510622822799684,False,2012-01-24 16:15:28.883
2012-01-25,1316.1761,0.000967,0.020305,0.11864898067501138,0.3481551970524737,-0.8915615901552623,0.38055194874175213,0.02313863880769525,0.08503036133585494,-0.44853670318208844,0.47864379722983996,-0.062203267197177683,0.007775899350067337,0.15237848052322348,317,True,8,105,317,254963,1307.75,1328.3,0.01571401261709049,False,2012-01-25 16:18:45.401
2012-01-26,1323.2468,0.001017,0.020427,0.12164580300985979,0.33831539117848425,-0.808424940356047,0.4307092487973395,0.024918626587375106,0.06765207904841414,-0.49999999503307446,0.49647438060986676,-0.1032011621385654,0.007457590105705368,0.14673074258357885,381,True,9,113,381,391850,1313.6,1333.47,0.015126370280146295,False,2012-01-26 16:19:31.408
2012-01-27,1315.6682,0.0010680000000000002,0.020481,0.13875792224747183,0.5775249466721697,-0.8180281142262803,0.6525274401069852,0.028243806960156007,0.04164831128477719,-0.33538495949591535,0.49995148693716435,-0.2655197367999506,0.008877911005149721,0.16165420390869897,293,True,9,94,293,274444,1311.72,1319.99,0.006304699173604211,False,2012-01-27 16:19:45.886
2012-01-30,1307.1162,0.001119,0.020534,0.3343128763711639,0.09910062455847468,-0.8909863485119706,0.3869555507646568,0.028069783294973776,0.08495194974461241,-0.39492323882186203,0.4555679616854399,-0.08347336857493394,0.0065864765516100475,0.13066860600159044,327,True,8,103,327,256070,1300.54,1316.16,0.01201039568179385,False,2012-01-30 16:19:16.467
2012-01-31,1312.0988,0.001119,0.020543999999999996,0.13596040134407167,0.2810658021398186,-0.8765024448050728,0.40561462428556505,0.027468663894726353,0.0762604862171043,-0.44316809601384066,0.4999792433068288,-0.08809558490827377,0.006827326898828353,0.12573096777062132,322,True,9,103,322,210606,1306.78,1321.41,0.011195457536846476,False,2012-01-31 16:19:32.133
